item,slift,complementizer,main.subject,embedded.subject,main.object1,main.object2,main.prep,embedded.tense,main.passive
104,FALSE,WHQ,REFERENTIAL,NOM,NONE,NONE,FALSE,TENSED,FALSE
105,FALSE,NONE,REFERENTIAL,NONE,TRUE,NONE,FALSE,NONE,FALSE
106,FALSE,NONE,REFERENTIAL,NONE,NONE,NONE,FALSE,NONE,FALSE
107,FALSE,NONE,REFERENTIAL,NONE,NONE,NONE,FALSE,NONE,FALSE
108,FALSE,NONE,REFERENTIAL,NOCASE,NONE,NONE,FALSE,TENSED,FALSE
109,FALSE,NONE,REFERENTIAL,NONE,TRUE,NONE,FALSE,NONE,FALSE
110,FALSE,WHQ,REFERENTIAL,NOCASE,NONE,NONE,FALSE,TENSED,FALSE
111,FALSE,WHQ,REFERENTIAL,NOM,NONE,NONE,FALSE,TENSED,FALSE
112,TRUE,NONE,NONE,NOCASE,NONE,NONE,FALSE,TENSED,FALSE
113,FALSE,WHQ,NONE,NOCASE,NONE,NONE,FALSE,TENSED,FALSE
114,FALSE,NONE,REFERENTIAL,NONE,TRUE,NONE,FALSE,NONE,FALSE
115,FALSE,NONE,REFERENTIAL,NONE,TRUE,NONE,FALSE,NONE,FALSE
116,FALSE,NONE,NONE,NOM,NONE,NONE,FALSE,TENSED,FALSE
117,FALSE,NONE,NONE,NOM,NONE,NONE,FALSE,TENSED,FALSE
118,FALSE,NONE,REFERENTIAL,NONE,NONE,NONE,FALSE,NONE,FALSE
119,FALSE,WHQ,NONE,NOM,NONE,NONE,FALSE,TENSED,FALSE
120,FALSE,TENSED,REFERENTIAL,NOCASE,NONE,NONE,FALSE,TENSED,FALSE
121,FALSE,NONE,REFERENTIAL,NONE,NONE,NONE,FALSE,NONE,FALSE
122,FALSE,WHQ,REFERENTIAL,NOCASE,NONE,NONE,FALSE,TENSED,FALSE
123,FALSE,WHQ,REFERENTIAL,NOM,NONE,NONE,FALSE,TENSED,FALSE
124,FALSE,WHQ,REFERENTIAL,NOM,NONE,NONE,FALSE,TENSED,FALSE
125,FALSE,NONE,REFERENTIAL,NONE,NONE,NONE,FALSE,NONE,FALSE
126,FALSE,NONE,REFERENTIAL,NOM,NONE,NONE,FALSE,TENSED,FALSE
127,FALSE,NONE,REFERENTIAL,NONE,TRUE,NONE,FALSE,NONE,FALSE
128,FALSE,WHQ,REFERENTIAL,NOCASE,NONE,NONE,FALSE,TENSED,FALSE
129,FALSE,WHQ,REFERENTIAL,NOCASE,NONE,NONE,FALSE,TENSED,FALSE
130,FALSE,NONE,REFERENTIAL,NOCASE,NONE,NONE,FALSE,TENSED,FALSE
131,FALSE,NONE,NONE,NOCASE,NONE,NONE,FALSE,TENSED,FALSE
132,FALSE,NONE,REFERENTIAL,NONE,NONE,NONE,FALSE,NONE,FALSE
133,FALSE,NONE,REFERENTIAL,NONE,NONE,NONE,FALSE,NONE,FALSE
134,FALSE,NONE,REFERENTIAL,NONE,TRUE,NONE,FALSE,NONE,FALSE
135,FALSE,NONE,NONE,NOCASE,NONE,NONE,FALSE,TENSED,FALSE
136,FALSE,WHQ,REFERENTIAL,NOCASE,NONE,NONE,FALSE,TENSED,FALSE
137,FALSE,NONE,REFERENTIAL,NONE,TRUE,NONE,FALSE,NONE,FALSE
138,FALSE,WHQ,REFERENTIAL,NOCASE,NONE,NONE,FALSE,TENSED,FALSE
139,FALSE,WHQ,REFERENTIAL,NONE,NONE,NONE,FALSE,TO,FALSE
140,FALSE,TENSED,REFERENTIAL,NOCASE,NONE,NONE,FALSE,TENSED,FALSE
141,FALSE,NONE,REFERENTIAL,NONE,NONE,NONE,FALSE,NONE,FALSE
142,FALSE,WHQ,REFERENTIAL,NOCASE,NONE,NONE,FALSE,TENSED,FALSE
143,FALSE,WHQ,REFERENTIAL,NOM,NONE,NONE,FALSE,TENSED,FALSE
144,FALSE,WHQ,REFERENTIAL,NOM,NONE,NONE,FALSE,TENSED,FALSE
145,FALSE,NONE,REFERENTIAL,NONE,NONE,NONE,FALSE,NONE,FALSE
146,FALSE,NONE,REFERENTIAL,NOM,NONE,NONE,FALSE,TENSED,FALSE
147,FALSE,NONE,REFERENTIAL,NONE,TRUE,NONE,FALSE,NONE,FALSE
